Date,Temp (C),Condition,Wind Speed (Kph),Wind Direction,Pressure (mb),Precipitation (mm),Humidity (%),Visibility (km),Gust Speed (Kph),Feels Like (C),Will it Rain?,Chance of Rain (%),Will it Snow?,Chance of Snow (%)
2024-10-01 00:00,17.1,Cloudy,6.5,E,1017.0,0.0,95,10.0,10.2,17.1,0,0,0,0
2024-10-01 01:00,16.9,Cloudy,6.5,E,1017.0,0.0,96,10.0,10.0,16.9,0,0,0,0
2024-10-01 02:00,16.9,Overcast,7.9,E,1017.0,0.0,98,10.0,12.0,16.9,0,0,0,0
2024-10-01 03:00,16.8,Overcast,9.4,E,1017.0,0.0,98,10.0,13.8,16.8,0,0,0,0
2024-10-01 04:00,16.8,Overcast,9.4,ESE,1017.0,0.0,98,10.0,13.7,16.8,0,0,0,0
2024-10-01 05:00,16.7,Overcast,7.9,ESE,1016.0,0.0,98,10.0,11.7,16.7,0,0,0,0
2024-10-01 06:00,16.6,Overcast,5.8,ESE,1016.0,0.0,96,10.0,8.8,16.6,0,0,0,0
2024-10-01 07:00,16.5,Overcast,4.7,SE,1016.0,0.0,95,10.0,7.3,16.5,0,0,0,0
2024-10-01 08:00,17.2,Cloudy,5.4,SSE,1016.0,0.0,95,10.0,8.4,17.2,0,0,0,0
2024-10-01 09:00,18.0,Cloudy,7.9,S,1016.0,0.0,85,10.0,11.2,18.0,0,0,0,0
2024-10-01 10:00,18.7,Cloudy,9.7,S,1016.0,0.0,80,10.0,12.3,18.7,0,0,0,0
2024-10-01 11:00,19.4,Partly cloudy,11.5,S,1015.0,0.0,75,10.0,13.2,19.4,0,0,0,0
2024-10-01 12:00,20.0,Partly cloudy,13.0,SSE,1015.0,0.0,73,10.0,14.9,20.0,0,0,0,0
2024-10-01 13:00,20.4,Partly cloudy,13.7,SSE,1015.0,0.0,72,10.0,15.7,20.4,0,0,0,0
2024-10-01 14:00,20.3,Cloudy,15.1,SSE,1014.0,0.0,71,10.0,17.4,20.3,0,0,0,0
2024-10-01 15:00,20.0,Cloudy,15.1,SSE,1014.0,0.0,76,10.0,17.4,20.0,0,0,0,0
2024-10-01 16:00,19.8,Cloudy,14.8,SSE,1013.0,0.0,78,10.0,17.0,19.8,0,0,0,0
2024-10-01 17:00,19.0,Cloudy,14.8,SSE,1013.0,0.0,81,10.0,18.1,19.0,0,0,0,0
2024-10-01 18:00,18.3,Moderate rain at times,14.0,SSE,1013.0,0.61,88,10.0,18.6,18.3,1,100,0,0
2024-10-01 19:00,17.7,Moderate rain at times,13.0,S,1013.0,0.92,91,10.0,18.7,17.7,1,100,0,0
2024-10-01 20:00,17.3,Light rain,15.5,SSW,1013.0,1.22,95,10.0,21.9,17.3,1,100,0,0
2024-10-01 21:00,17.1,Light rain,15.8,SSW,1013.0,1.45,96,10.0,21.3,17.1,1,100,0,0
2024-10-01 22:00,17.0,Light rain,12.6,SSW,1013.0,1.56,97,10.0,17.1,17.0,1,100,0,0
2024-10-01 23:00,15.8,Cloudy,18.4,NNW,1017.0,0.0,92,9.0,23.4,15.4,0,0,0,0
2024-10-02 00:00,15.1,Mist,20.9,NNW,1013.0,2.19,92,10.0,27.8,13.9,1,100,0,0
2024-10-02 01:00,14.1,Mist,17.6,NNW,1013.0,3.28,91,10.0,23.7,12.5,1,100,0,0
2024-10-02 02:00,13.4,Moderate rain,16.2,NNW,1014.0,4.37,90,10.0,21.6,11.5,1,100,0,0
2024-10-02 03:00,12.8,Moderate rain,14.0,N,1014.0,2.19,86,2.0,19.0,10.8,1,100,0,0
2024-10-02 04:00,12.4,Moderate rain,11.5,NNW,1014.0,1.09,83,10.0,15.9,10.2,1,100,0,0
2024-10-02 05:00,11.8,Partly cloudy,12.2,NNW,1014.0,0.0,81,10.0,17.4,9.5,0,0,0,0
2024-10-02 06:00,11.3,Partly cloudy,13.3,NNW,1015.0,0.0,83,10.0,19.3,9.0,0,0,0,0
2024-10-02 07:00,10.8,Partly cloudy,13.3,NNW,1016.0,0.0,83,10.0,20.0,8.5,0,0,0,0
2024-10-02 08:00,11.5,Sunny,11.2,NNW,1016.0,0.0,84,10.0,16.5,9.5,0,0,0,0
